DATE,LISTING
7/1/2016,579129.4953
8/1/2016,594961.3452
9/1/2016,601133.5881
10/1/2016,607249.3601
11/1/2016,590850.5031
12/1/2016,573369.2966
1/1/2017,557231.0672
2/1/2017,568824.1535
3/1/2017,587309.5822
4/1/2017,586606.7745
5/1/2017,594376.1602
6/1/2017,586877.3295
7/1/2017,579023.3268
8/1/2017,562173.3087
9/1/2017,566423.7917
10/1/2017,581269.1306
11/1/2017,576873.1872
12/1/2017,572383.1334
1/1/2018,582841.9431
2/1/2018,575091.4437
3/1/2018,604186.058
4/1/2018,585188.4192
5/1/2018,579325.8042
6/1/2018,582775.3228
7/1/2018,574578.6894
8/1/2018,609431.4991
9/1/2018,641099.5056
10/1/2018,591753.5
11/1/2018,591755.1392
12/1/2018,548800.2087
1/1/2019,569123.9178
2/1/2019,600790.7594
3/1/2019,622832.056
4/1/2019,644317.3477
5/1/2019,662040.912
6/1/2019,612783.7089
7/1/2019,621077.2229
8/1/2019,618666.6588
9/1/2019,608782.6171
10/1/2019,594139.5993
11/1/2019,589462.771
12/1/2019,598398.6847
1/1/2020,627188.3848
2/1/2020,644227.57
3/1/2020,643189.8566
4/1/2020,652623.6633
5/1/2020,667136.3542
6/1/2020,676262.9153
7/1/2020,685718.6593
8/1/2020,710152.95
9/1/2020,739897.9183
10/1/2020,736636.729
11/1/2020,822750.3993
12/1/2020,810817.1338
1/1/2021,888827.1362
2/1/2021,974012.0687
3/1/2021,967177.4529
4/1/2021,1005777.738
5/1/2021,864071.6133
6/1/2021,798369.8083
7/1/2021,720824.4209
8/1/2021,728137.7762
9/1/2021,742513.5234
